"cod_ibge","ivs_renda_e_trabalho_quartile","renda_per_capita_quartile","i_gini_quartile","t_analf_15m_quartile","ivs_capital_humano_quartile","t_sem_agua_esgoto_quartile","t_sem_lixo_quartile"
"350010",1,4,4,2,1,1,1
"350020",2,2,1,3,2,1,2
"350030",3,2,3,3,4,3,3
"350040",3,4,4,2,1,3,4
"350050",3,3,2,2,3,4,4
"350055",1,4,3,1,2,4,1
"350060",1,4,4,1,1,1,1
"350070",3,2,1,1,2,2,3
"350075",3,1,2,2,2,3,1
"350080",4,1,1,4,1,4,4
"350090",1,2,2,4,4,1,1
"350100",2,3,2,2,3,3,1
"350110",3,1,1,3,3,1,2
"350115",2,3,2,1,1,3,1
"350120",3,2,1,4,2,3,3
"350130",3,2,3,2,2,3,4
"350140",3,1,1,3,3,1,1
"350150",2,3,4,4,1,1,1
"350160",1,4,3,1,1,2,2
"350170",3,2,1,2,2,2,2
"350180",2,2,2,3,2,1,2
"350190",1,4,4,1,1,3,2
"350200",3,4,4,2,2,1,1
"350210",2,4,4,2,1,3,3
"350220",3,2,2,2,4,3,3
"350230",2,1,2,2,3,1,2
"350240",2,1,2,3,2,1,1
"350250",3,3,3,1,1,2,4
"350260",3,2,3,4,3,3,1
"350270",4,1,4,3,4,4,4
"350275",2,3,3,2,4,4,4
"350280",1,4,4,1,1,3,2
"350290",3,4,4,1,2,4,4
"350300",2,3,2,2,2,3,4
"350310",1,1,1,3,4,2,3
"350315",4,1,1,3,4,1,3
"350320",1,4,4,1,1,2,2
"350330",1,4,3,1,1,2,2
"350335",4,1,1,4,3,2,2
"350340",3,3,2,2,2,1,2
"350350",4,1,2,3,4,3,4
"350360",3,1,1,4,4,2,1
"350370",2,3,1,3,3,2,1
"350380",2,4,3,1,3,1,2
"350390",3,4,4,1,2,4,2
"350395",4,2,2,4,2,2,1
"350400",1,4,4,1,1,2,2
"350410",2,4,4,1,2,4,4
"350420",1,4,3,2,1,2,4
"350430",3,1,3,3,4,3,2
"350440",3,1,2,3,3,1,2
"350450",1,4,3,1,2,2,2
"350460",1,3,1,1,1,1,1
"350470",4,1,1,4,1,1,1
"350480",1,4,2,3,1,1,3
"350490",4,2,4,3,4,2,1
"350500",4,1,3,3,3,4,4
"350510",3,1,1,4,4,3,2
"350520",1,3,2,2,2,1,2
"350530",1,4,2,2,1,1,3
"350535",4,1,4,4,4,4,4
"350540",4,1,4,4,4,4,1
"350550",1,4,3,1,1,3,3
"350560",3,2,1,3,4,1,2
"350570",2,4,4,1,2,2,2
"350580",2,2,1,2,1,2,3
"350590",1,4,4,1,2,1,2
"350600",1,4,4,1,1,2,3
"350610",2,4,4,1,1,1,3
"350620",3,2,1,3,3,1,1
"350630",2,2,2,2,3,1,1
"350635",2,3,3,1,4,4,3
"350640",1,4,2,3,2,1,3
"350650",1,4,2,1,1,2,3
"350660",4,2,4,3,4,4,4
"350670",3,2,2,4,4,1,1
"350680",1,4,2,2,2,1,4
"350690",4,2,3,3,4,4,3
"350700",2,4,4,1,2,3,4
"350710",2,3,1,2,3,2,1
"350715",4,1,2,4,4,4,2
"350720",1,2,1,4,3,4,1
"350730",1,3,1,3,2,1,4
"350740",3,2,2,3,3,4,1
"350745",3,1,1,3,4,4,3
"350750",1,4,4,1,1,2,3
"350760",1,4,4,1,1,4,3
"350770",2,3,2,3,3,2,3
"350775",2,2,1,4,3,3,1
"350780",1,3,2,1,1,1,3
"350790",2,3,1,2,1,2,4
"350800",4,1,4,3,4,4,4
"350810",3,3,2,3,3,1,2
"350820",3,4,3,2,2,3,1
"350830",2,1,1,4,3,4,1
"350840",2,3,2,2,4,3,2
"350850",2,4,4,1,2,3,3
"350860",3,3,4,1,3,3,3
"350870",4,2,4,3,3,3,3
"350880",3,2,3,2,4,2,2
"350890",4,1,1,4,2,3,4
"350900",2,4,3,1,2,3,2
"350910",4,1,3,4,3,4,4
"350920",3,2,2,1,3,4,4
"350925",4,1,3,4,4,4,4
"350930",1,2,1,3,2,1,2
"350940",2,2,1,2,4,2,2
"350945",4,1,4,3,4,1,4
"350950",1,4,4,1,1,3,2
"350960",2,3,2,1,2,3,3
"350970",1,4,4,1,4,4,4
"350980",4,1,2,4,4,4,1
"350990",3,1,4,2,4,4,4
"350995",4,1,2,2,4,4,1
"351000",3,2,1,2,2,3,2
"351010",1,4,3,3,1,1,3
"351015",3,1,1,4,4,1,1
"351020",4,1,4,3,4,3,3
"351030",3,1,1,2,4,4,2
"351040",2,4,3,1,3,3,4
"351050",3,3,4,1,2,4,3
"351060",3,3,3,1,3,3,3
"351070",4,2,2,3,4,3,4
"351080",2,3,4,1,2,4,3
"351090",4,1,2,4,3,4,1
"351100",4,1,3,3,3,4,3
"351110",1,4,3,1,1,2,2
"351120",1,3,2,3,1,1,3
"351130",1,4,2,2,1,1,4
"351140",2,2,2,2,4,3,1
"351150",1,4,2,1,1,2,4
"351160",3,2,2,1,4,4,4
"351170",2,3,1,2,2,2,4
"355720",3,2,3,3,3,1,1
"351190",1,2,1,3,3,1,3
"351200",3,3,3,2,2,1,2
"351210",3,1,1,4,2,4,4
"351220",2,2,2,4,4,1,1
"351230",3,3,4,2,3,2,3
"351240",2,4,2,1,3,2,2
"351250",2,2,1,2,4,3,1
"351260",4,1,3,4,4,3,1
"351270",1,3,3,2,2,2,3
"351280",3,4,2,1,2,3,1
"351290",3,2,1,3,2,4,3
"351300",2,4,4,1,2,4,4
"351310",1,3,2,2,3,1,1
"351320",2,3,3,3,2,1,1
"351330",3,2,2,3,1,3,1
"351340",4,4,4,1,2,2,3
"351350",4,3,3,1,4,4,4
"351360",4,1,4,4,4,4,4
"351370",1,3,3,1,2,3,2
"351380",3,3,2,1,3,3,3
"351385",3,1,1,4,1,3,3
"351390",4,3,3,2,2,3,1
"351400",1,2,1,4,4,1,1
"351410",1,3,3,3,4,4,1
"351420",2,2,1,4,3,1,1
"351430",1,3,1,3,2,1,1
"351440",1,4,2,2,1,3,2
"351450",2,3,2,2,1,4,2
"351460",2,3,1,2,2,3,1
"351470",4,3,4,4,3,2,1
"351480",4,1,4,4,4,4,2
"351490",2,2,2,2,4,4,1
"351492",1,2,1,4,3,1,1
"351495",1,3,1,3,2,3,2
"351500",3,2,3,1,3,3,3
"351510",3,2,4,2,3,4,4
"351512",2,1,1,4,3,4,4
"351515",2,3,3,3,4,1,3
"351518",1,4,4,2,1,1,2
"351519",3,1,1,3,3,2,1
"355730",1,2,1,1,1,3,3
"351530",4,2,2,3,1,1,3
"351520",1,2,1,3,1,4,1
"351535",4,1,3,4,4,4,4
"351540",1,2,2,2,2,2,1
"351560",2,4,1,3,1,1,1
"351550",1,4,4,2,1,1,2
"351565",4,1,1,3,1,1,1
"351570",3,1,2,1,3,3,2
"351580",4,1,1,4,1,1,4
"351590",1,2,1,3,2,1,1
"351600",2,2,1,4,4,1,1
"351610",4,1,3,3,2,3,1
"351620",1,4,3,1,2,1,2
"351630",4,1,1,2,4,4,4
"351640",3,2,2,2,4,4,4
"351650",2,3,1,3,1,1,2
"351660",4,1,2,4,4,4,2
"351670",2,3,4,2,2,3,2
"351680",3,3,2,4,3,1,3
"351685",2,1,1,3,3,3,1
"351690",2,3,3,3,2,1,2
"351700",3,2,3,3,3,3,4
"351710",1,3,4,3,3,2,1
"351720",2,2,1,2,2,1,3
"351730",3,1,1,4,4,4,2
"351740",3,4,4,2,3,2,2
"351750",3,3,1,2,3,1,2
"351760",4,1,4,4,4,4,3
"351770",3,2,4,4,4,2,2
"351780",3,2,2,3,2,4,1
"351790",4,2,2,3,4,1,3
"351800",4,1,1,4,3,2,1
"351810",4,2,3,4,4,1,2
"351820",2,3,2,2,1,2,3
"351830",1,3,3,2,3,4,4
"351840",2,4,4,1,1,3,2
"351850",3,2,2,3,3,3,4
"351860",3,2,2,4,4,2,1
"351870",3,3,4,1,4,4,4
"351880",3,4,4,1,2,3,3
"351885",4,3,4,4,4,4,4
"351890",4,1,1,4,4,1,1
"351900",4,1,2,3,4,3,3
