"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"350010",67.34,3.85,2.08,26.68,0.05,4,1,4,1,2,5.98,2
"350020",59.66,4.3,0.3,35.58,0.16,2,1,2,3,4,4.76,1
"350030",62.95,6.5,0.36,30.17,0.02,3,3,2,2,1,6.88,3
"350040",71.75,4.3,0.39,23.56,NA,4,1,3,1,NA,NA,NA
"350050",74.11,3.55,0.31,21.99,0.03,4,1,2,1,1,3.89,1
"350055",63.9,5.06,0.82,30.17,0.06,3,2,4,2,2,5.94,2
"350060",80,3.27,1.83,14.86,0.04,4,1,4,1,1,5.14,2
"350070",59.11,6.43,0.42,33.9,0.14,2,3,3,3,4,6.99,3
"350075",68.12,3.83,0.21,27.8,0.05,4,1,2,2,2,4.09,1
"350080",56.67,5.26,1.6,36.4,0.07,2,2,4,3,2,6.93,3
"350090",48.36,8.06,0.2,43.35,0.03,1,4,1,4,1,8.29,4
"350100",61.11,6.19,0.22,32.43,0.04,3,3,2,2,1,6.45,3
"350110",65.71,4.04,0.7,29.52,0.03,3,1,3,2,1,4.77,1
"350115",51.7,7.71,0.36,40.18,0.04,1,4,2,4,1,8.11,4
"350120",64.73,4.78,0.49,29.99,0.03,3,2,3,2,1,5.3,2
"350130",53.63,6.81,2.37,37.1,0.08,2,3,4,3,3,9.26,4
"350140",44.8,10.15,0.17,44.86,0.02,1,4,1,4,1,10.34,4
"350150",51.65,8.21,0.21,39.86,0.07,1,4,2,4,2,8.49,4
"350160",70.71,4.58,0.66,23.96,0.09,4,2,3,1,3,5.33,2
"350170",49.94,8.59,0.15,41.27,0.05,1,4,1,4,2,8.79,4
"350180",68.04,4.55,0.61,26.7,0.1,4,2,3,1,3,5.26,2
"350190",72.58,4.72,0.22,22.44,0.05,4,2,2,1,2,4.99,1
"350200",63.7,6.01,0.31,29.85,0.13,3,3,2,2,4,6.45,3
"350210",52.61,6.14,1.72,39.49,0.04,1,3,4,4,1,7.9,4
"350220",73.52,3.25,0.27,22.91,0.05,4,1,2,1,2,3.57,1
"350230",60.54,5.27,0.21,33.91,0.07,2,2,2,3,2,5.55,2
"350240",54.16,4.13,0.89,40.79,0.02,2,1,4,4,1,5.04,1
"350250",64.09,6.16,0.25,29.37,0.12,3,3,2,2,4,6.53,3
"350260",65.42,4.53,0.54,29.49,0.02,3,2,3,2,1,5.09,1
"350270",46.2,5.19,0.31,48.19,0.09,1,2,2,4,3,5.59,2
"350275",46.36,8.52,0.27,44.75,0.1,1,4,2,4,3,8.89,4
"350280",58.83,6.61,2.2,32.28,0.07,2,3,4,2,2,8.88,4
"350290",69.86,4.08,1.07,24.86,0.1,4,1,4,1,3,5.25,2
"350300",53.47,9.52,0.2,36.81,NA,2,4,1,3,NA,NA,NA
"350310",55.8,7,0.22,36.96,0.01,2,4,2,3,1,7.23,3
"350315",50.04,12.19,0.39,37.12,0.26,1,4,3,3,4,12.84,4
"350320",64.93,7.91,0.71,26.39,0.06,3,4,3,1,2,8.68,4
"350330",66.24,6.41,0.34,26.94,0.06,3,3,2,1,2,6.81,3
"350335",50.29,2.74,0.54,34.88,11.55,1,1,3,3,4,14.83,4
"350340",72.93,4.43,0.34,22.29,0.01,4,2,2,1,1,4.78,1
"350350",53.2,7.27,0.11,39.33,0.08,2,4,1,4,3,7.46,3
"350360",54.64,6.5,0.14,38.7,0.02,2,3,1,3,1,6.66,3
"350370",72.17,3.8,0.09,23.91,0.03,4,1,1,1,1,3.92,1
"350380",56.6,5.48,0.51,37.36,0.06,2,2,3,3,2,6.05,2
"350390",51.46,8.31,1.61,38.49,0.13,1,4,4,3,4,10.05,4
"350395",57.33,5.05,0.81,36.64,0.16,2,2,4,3,4,6.02,2
"350400",70.6,4.3,0.57,24.45,0.07,4,1,3,1,3,4.94,1
"350410",64.02,5.68,2.12,28.06,0.1,3,3,4,2,3,7.9,4
"350420",66.37,3.84,0.61,29.16,0.03,3,1,3,2,1,4.48,1
"350430",52,4.33,0.47,28.15,15.06,1,1,3,2,4,19.86,4
"350440",51.77,6.64,0.34,41.21,0.04,1,3,2,4,1,7.02,3
"350450",66.93,5.02,0.94,27.02,0.08,3,2,4,1,3,6.04,2
"350460",64.34,5.25,0.43,29.9,0.08,3,2,3,2,3,5.76,2
"350470",49.01,9.8,0.18,40.91,0.1,1,4,1,4,3,10.08,4
"350480",73.98,4.37,0.08,21.56,0.01,4,1,1,1,1,4.46,1
"350490",51.65,10.37,0.04,37.92,0.02,1,4,1,3,1,10.43,4
"350500",74.09,2.12,0.51,19.99,3.29,4,1,3,1,4,5.92,2
"350510",48.92,8.19,0.6,42.25,0.04,1,4,3,4,1,8.83,4
"350520",72.63,5.13,0.17,22.03,0.03,4,2,1,1,1,5.33,2
"350530",70.08,5.04,0.17,24.65,0.07,4,2,1,1,3,5.28,2
"350535",40.68,5.54,0.37,53.35,0.06,1,2,3,4,2,5.97,2
"350540",41.14,7.48,0.38,50.6,0.41,1,4,3,4,4,8.27,4
"350550",61.41,9.13,0.79,28.62,0.05,3,4,4,2,2,9.97,4
"350560",39.41,11.04,0.61,48.78,0.16,1,4,3,4,4,11.81,4
"350570",52.31,8.22,0.69,38.71,0.07,1,4,3,3,3,8.98,4
"350580",42.95,3.46,10.33,43.18,0.07,1,1,4,4,3,13.86,4
