cod_ibge;nome_municipio;censo_total_estab;censo_estab_usou_agrotox;censo_pct_uso_agrotox;censo_valor_agrotox_mil;censo_n_estab_agrotox;pam_area_colhida_ha;pam_area_plantada_ha;pam_qtd_produzida;pam_valor_prod_mil_reais;sih_n_internacoes_intox;sih_n_internacoes_agrotox;sih_n_obitos_intox;sinan_n_notificacoes_intox;sinan_n_casos_contexto_agric;sisagua_n_amostras;sisagua_n_deteccoes_quant;sisagua_n_agrotox_detectados
350010;Adamantina (SP);529;185;35,0;8543,043;185;14399;14399;NA;124005;6;0;0;5;0;159;0;0
350020;Adolfo (SP);82;24;29,3;1150,700;24;10126;10126;NA;157268;2;0;0;5;0;94;0;0
350030;Aguaí (SP);507;295;58,2;18485,083;295;28919;28919;NA;502644;4;0;0;56;1;306;0;0
350040;Águas da Prata (SP);113;38;33,6;550,300;39;1585;1585;NA;37802;1;0;0;15;0;350;0;0
350050;Águas de Lindóia (SP);69;25;36,2;160,190;25;447;447;NA;11767;5;0;0;8;0;144;0;0
350055;Águas de Santa Bárbara (SP);212;79;37,3;8345,339;79;28040;28040;NA;367000;0;0;0;5;0;119;2;2
350070;Agudos (SP);301;53;17,6;30182,128;53;10392;10552;NA;102557;6;0;0;37;0;605;0;0
350075;Alambari (SP);168;63;37,5;900,570;63;5451;5451;NA;67980;1;0;0;0;0;725;0;0
350080;Alfredo Marcondes (SP);235;32;13,6;44,307;32;478;478;NA;8211;0;0;0;2;0;94;0;0
350090;Altair (SP);103;43;41,7;7723,961;43;19500;19500;NA;258036;1;0;0;3;0;219;0;0
350100;Altinópolis (SP);282;194;68,8;10084,069;194;39500;39500;NA;455043;8;0;0;23;0;379;0;0
350110;Alto Alegre (SP);468;172;36,8;1433,280;172;10685;10685;NA;106937;1;0;0;13;0;104;0;0
350120;Álvares Florence (SP);508;126;24,8;1638,190;126;12281;12281;NA;125037;2;0;0;18;0;44;0;0
350130;Álvares Machado (SP);660;149;22,6;280,298;149;2047;2047;NA;38431;2;0;0;7;0;313;0;0
350140;Álvaro de Carvalho (SP);93;38;40,9;757,244;38;1182;1182;NA;8550;1;0;0;5;0;90;0;0
350150;Alvinlândia (SP);102;41;40,2;514,630;41;1487;1487;NA;25947;0;0;0;10;0;102;0;0
350160;Americana (SP);42;15;35,7;483,703;15;240;240;NA;2285;15;1;0;369;0;7243;131;22
350170;Américo Brasiliense (SP);17;5;29,4;26410,374;5;8980;8980;NA;99345;5;0;0;72;0;931;55;27
350180;Américo de Campos (SP);374;80;21,4;268,720;80;9757;9757;NA;103761;2;0;0;19;1;270;270;27
350190;Amparo (SP);525;183;34,9;2374,588;183;4788;4788;NA;95453;8;0;1;85;0;2590;167;27
350200;Analândia (SP);116;40;34,5;5277,552;40;11231;11231;NA;146960;1;0;0;5;0;188;0;0
350210;Andradina (SP);838;236;28,2;3102,138;236;42551;46571;NA;325703;16;1;1;95;2;278;0;0
350220;Angatuba (SP);931;200;21,5;12695,232;200;23417;23417;NA;490457;3;0;0;2;0;419;0;0
350230;Anhembi (SP);184;47;25,5;4501,776;47;18458;18458;NA;204156;1;0;0;6;0;617;27;27
350240;Anhumas (SP);223;59;26,5;1196,432;59;9976;9976;NA;84941;1;0;0;3;0;91;0;0
350250;Aparecida (SP);83;12;14,5;142,024;12;310;310;NA;2888;2;0;0;39;0;120;0;0
350260;Aparecida d'Oeste (SP);397;113;28,5;1642,046;113;2051;2051;NA;36342;0;0;0;5;0;99;0;0
350270;Apiaí (SP);534;251;47,0;7091,862;252;8459;8461;NA;401640;4;0;0;28;2;715;0;0
350275;Araçariguama (SP);10;2;20,0;NA;2;183;183;NA;1725;3;0;0;38;0;1259;42;27
350280;Araçatuba (SP);1020;320;31,4;5867,057;320;46678;46678;NA;333806;37;0;1;264;2;1139;180;27
350290;Araçoiaba da Serra (SP);315;124;39,4;697,755;124;3363;3363;NA;37355;4;0;0;16;1;559;0;0
350300;Aramina (SP);82;45;54,9;1505,863;45;14414;14414;NA;122228;2;0;0;13;0;0;0;0
350310;Arandu (SP);185;70;37,8;10462,991;70;12410;12410;NA;221380;0;0;0;4;1;191;102;27
350315;Arapeí (SP);83;2;2,4;NA;2;114;114;NA;1012;0;0;0;0;0;183;0;0
350320;Araraquara (SP);711;401;56,4;2710,740;401;46517;46517;NA;523470;31;0;1;61;0;4145;74;27
350330;Araras (SP);358;229;64,0;27052,490;229;42828;42828;NA;525788;20;0;2;143;1;3517;929;27
350335;Arco-Íris (SP);191;68;35,6;2171,337;68;6590;6590;NA;81728;0;0;0;4;0;92;0;0
350340;Arealva (SP);645;198;30,7;3065,805;198;13939;13939;NA;174775;3;0;0;1;0;373;0;0
350350;Areias (SP);82;8;9,8;5,245;8;151;151;NA;1931;1;0;0;1;0;0;0;0
350360;Areiópolis (SP);21;6;28,6;207,060;6;7155;7155;NA;58275;1;0;0;4;0;162;0;0
350370;Ariranha (SP);106;93;87,7;39997,237;93;9276;9276;NA;82392;0;0;0;27;0;162;0;0
350380;Artur Nogueira (SP);568;312;54,9;3785,793;312;8503;8561;NA;127722;2;0;1;79;0;816;219;22
350390;Arujá (SP);127;74;58,3;193,266;74;NA;NA;NA;NA;10;0;0;79;0;356;0;0
350395;Aspásia (SP);142;88;62,0;2462,818;88;2074;2074;NA;55309;1;0;0;6;0;99;0;0
350400;Assis (SP);389;163;41,9;4522,257;163;30023;30023;NA;282455;14;0;0;148;0;266;0;0
350410;Atibaia (SP);600;436;72,7;6257,716;436;2876;2876;NA;43593;19;0;0;154;0;2182;43;20
350420;Auriflama (SP);349;97;27,8;638,826;97;8285;8785;NA;86526;3;0;0;29;0;101;0;0
350430;Avaí (SP);374;92;24,6;4271,770;93;5189;5189;NA;118816;2;0;0;3;0;138;40;20
350440;Avanhandava (SP);170;67;39,4;1308,674;67;16582;16582;NA;163772;1;0;0;3;0;88;0;0
350450;Avaré (SP);665;170;25,6;28244,334;170;52978;52978;NA;766487;0;0;0;137;0;1275;23;22
350460;Bady Bassitt (SP);153;51;33,3;579,780;51;4869;4869;NA;57644;9;0;0;63;0;0;0;0
350470;Balbinos (SP);64;33;51,6;1703,374;33;5629;5629;NA;60351;0;0;0;1;0;135;43;22
350480;Bálsamo (SP);252;98;38,9;1379,709;98;9205;9205;NA;107115;1;0;0;6;0;72;0;0
350490;Bananal (SP);236;5;2,1;3,600;5;369;369;NA;2328;0;0;0;0;0;195;0;0
350500;Barão de Antonina (SP);219;69;31,5;388,805;69;5412;5412;NA;80370;1;0;0;3;1;91;0;0
350510;Barbosa (SP);109;35;32,1;530,506;35;4970;4970;NA;48003;5;0;1;14;0;26;0;0
350520;Bariri (SP);369;265;71,8;3582,494;265;28705;28705;NA;304200;12;0;0;13;0;66;0;0
350530;Barra Bonita (SP);55;30;54,5;476,060;30;8847;8847;NA;86184;2;0;0;38;0;71;0;0
350535;Barra do Chapéu (SP);441;108;24,5;755,530;108;1495;1528;NA;111950;1;0;0;2;0;170;0;0
350540;Barra do Turvo (SP);547;70;12,8;71,523;70;382;382;NA;1730;0;0;0;1;0;85;0;0
350550;Barretos (SP);975;489;50,2;46670,201;489;104313;104313;NA;1176570;27;0;3;187;0;704;427;27
350560;Barrinha (SP);22;14;63,6;687,324;14;11033;11033;NA;121671;5;0;0;12;0;216;0;0
350580;Bastos (SP);382;59;15,4;669,086;59;2232;2232;NA;22463;3;0;0;38;0;343;127;22
350590;Batatais (SP);376;290;77,1;45104,864;290;54105;54105;NA;415849;13;0;0;155;2;262;0;0
350600;Bauru (SP);395;93;23,5;4671,603;93;4453;4453;NA;72764;29;0;0;275;0;10104;318;27
350610;Bebedouro (SP);599;384;64,1;20059,706;384;49761;49761;NA;590966;7;0;0;67;0;933;21;21
