Faixa Etária;Número de Óbito - Homens;Taxa Específica - Homens;Número de Óbito - Mulheres;Taxa Específica - Mulheres
00 a 04;9;0,1272506216546342;10;0,1481881040517591
05 a 09;3;0,0401594867082139;1;0,0140490223777043
10 a 14;7;0,0938141999049260;24;0,3373737589565705
15 a 19;87;1,1058514668611270;89;1,1811282774319034
20 a 29;423;2,5682908849899304;238;1,4516962704946881
30 a 39;481;2,9554709453857231;257;1,5285274368890647
40 a 49;436;2,9706041684253530;259;1,6548148274986523
50 a 59;276;2,3973318738562184;161;1,2561114503218844
60 a 69;148;1,8178653666800264;103;1,0735450259896913
70 a 79;94;2,2208046873154252;58;1,0631053858201904
80 ou mais;37;2,1836896091785785;29;1,0561177258070742
