cod_ibge,nome_municipio,n_years,hosp_0_14_total,poison_0_14_total,hosp_pest_0_14_total,poison_pest_0_14_total,pop_0_14_person_years,pop_0_14_mean_annual,pop_0_14_2024,hosp_rate_0_14_per100k_yr,poison_rate_0_14_per100k_yr,hosp_pest_rate_0_14_per100k_yr,poison_pest_rate_0_14_per100k_yr
355030,São Paulo,11,2700,16304,22,593,25232664,2293879,2116339,10.7,64.61,0.09,2.35
351880,Guarulhos,11,175,2058,0,144,3243420,294856,274972,5.4,63.45,0,4.44
350950,Campinas,11,273,1421,1,100,2385699,216882,208679,11.44,59.56,0.04,4.19
354870,São Bernardo do Campo,11,62,1797,0,53,1762191,160199,148883,3.52,101.98,0,3.01
353440,Osasco,11,66,541,0,30,1688149,153468,146923,3.91,32.05,0,1.78
354990,São José dos Campos,11,142,1791,0,101,1584703,144064,139569,8.96,113.02,0,6.37
355220,Sorocaba,11,123,477,0,36,1552593,141145,146304,7.92,30.72,0,2.32
354780,Santo André,11,105,598,0,30,1500180,136380,131955,7,39.86,0,2
354340,Ribeirão Preto,11,596,781,1,47,1429751,129977,129838,41.69,54.62,0.07,3.29
353060,Mogi das Cruzes,11,68,433,0,35,1068966,97179,95170,6.36,40.51,0,3.27
352310,Itaquaquecetuba,11,78,440,3,23,1003092,91190,87993,7.78,43.86,0.3,2.29
352940,Mauá,11,52,400,0,13,994274,90389,82856,5.23,40.23,0,1.31
351060,Carapicuíba,11,113,592,3,30,977141,88831,82176,11.56,60.58,0.31,3.07
354980,São José do Rio Preto,11,148,2296,0,125,945331,85939,89369,15.66,242.88,0,13.22
351380,Diadema,11,91,770,0,35,935533,85048,75563,9.73,82.31,0,3.74
352590,Jundiaí,11,137,787,0,34,891522,81047,82501,15.37,88.28,0,3.81
353870,Piracicaba,11,669,1071,1,70,887633,80694,80294,75.37,120.66,0.11,7.89
350600,Bauru,11,94,306,0,19,800021,72729,71776,11.75,38.25,0,2.37
351620,Franca,11,252,1259,0,70,790866,71897,69734,31.86,159.19,0,8.85
354100,Praia Grande,11,23,295,0,22,788665,71697,72784,2.92,37.4,0,2.79
355100,São Vicente,11,80,456,0,27,778927,70812,63889,10.27,58.54,0,3.47
354850,Santos,11,86,529,0,23,767638,69785,64590,11.2,68.91,0,3
355250,Suzano,11,23,389,1,37,753841,68531,67717,3.05,51.6,0.13,4.91
350570,Barueri,11,93,734,0,35,752928,68448,69368,12.35,97.49,0,4.65
351870,Guarujá,11,53,198,0,22,728303,66209,60003,7.28,27.19,0,3.02
355410,Taubaté,11,31,621,0,48,682303,62028,60410,4.54,91.02,0,7.03
351500,Embu das Artes,11,61,509,0,23,663827,60348,55611,9.19,76.68,0,3.46
355240,Sumaré,11,102,452,1,20,661969,60179,58893,15.41,68.28,0.15,3.02
351300,Cotia,11,81,469,0,25,656616,59692,62657,12.34,71.43,0,3.81
