year,sex,age_group,population,n_hosp_pesticide,n_hosp_broad,rate_broad_per100k,rate_pesticide_per100k
2014,Female,0-4,1480436,4,311,21.01,0.27
2014,Female,5-9,1479226,0,102,6.9,0
2014,Female,10-14,1587364,1,199,12.54,0.063
2014,Female,15-19,1692466,1,336,19.85,0.059
2014,Female,20-24,1739655,1,287,16.5,0.057
2014,Female,25-29,1866907,0,264,14.14,0
2014,Female,30-34,1961857,2,261,13.3,0.102
2014,Female,35-39,1804115,0,253,14.02,0
2014,Female,40-44,1620505,1,250,15.43,0.062
2014,Female,45-49,1534286,0,221,14.4,0
2014,Female,50-54,1417559,1,166,11.71,0.071
2014,Female,55-59,1227472,0,150,12.22,0
2014,Female,60-64,976779,2,77,7.88,0.205
2014,Female,65-69,739411,0,78,10.55,0
2014,Female,70-74,533768,0,62,11.62,0
2014,Female,75-79,405318,0,58,14.31,0
2014,Female,80+,508042,0,85,16.73,0
2014,Male,0-4,1552070,1,384,24.74,0.064
2014,Male,5-9,1549611,1,114,7.36,0.065
2014,Male,10-14,1653264,0,95,5.75,0
2014,Male,15-19,1729989,1,256,14.8,0.058
2014,Male,20-24,1751617,1,296,16.9,0.057
2014,Male,25-29,1843878,1,318,17.25,0.054
2014,Male,30-34,1871599,3,328,17.53,0.16
2014,Male,35-39,1698738,2,287,16.89,0.118
2014,Male,40-44,1509258,1,291,19.28,0.066
2014,Male,45-49,1390841,1,253,18.19,0.072
2014,Male,50-54,1253045,1,191,15.24,0.08
2014,Male,55-59,1065996,0,155,14.54,0
2014,Male,60-64,835216,0,143,17.12,0
2014,Male,65-69,606522,0,98,16.16,0
2014,Male,70-74,414620,0,76,18.33,0
2014,Male,75-79,287559,1,47,16.34,0.348
2014,Male,80+,284211,0,59,20.76,0
2015,Female,0-4,1494275,1,238,15.93,0.067
2015,Female,5-9,1466145,0,118,8.05,0
2015,Female,10-14,1561041,2,183,11.72,0.128
2015,Female,15-19,1684483,9,307,18.23,0.534
2015,Female,20-24,1730166,1,227,13.12,0.058
2015,Female,25-29,1831968,2,251,13.7,0.109
2015,Female,30-34,1952962,0,230,11.78,0
2015,Female,35-39,1853429,1,262,14.14,0.054
2015,Female,40-44,1638799,4,219,13.36,0.244
2015,Female,45-49,1545333,5,217,14.04,0.324
2015,Female,50-54,1440587,2,155,10.76,0.139
2015,Female,55-59,1264091,1,145,11.47,0.079
2015,Female,60-64,1016595,1,90,8.85,0.098
2015,Female,65-69,776060,0,68,8.76,0
2015,Female,70-74,554478,0,42,7.57,0
2015,Female,75-79,416038,0,62,14.9,0
2015,Female,80+,526283,2,78,14.82,0.38
2015,Male,0-4,1567082,2,326,20.8,0.128
2015,Male,5-9,1535498,2,123,8.01,0.13
2015,Male,10-14,1629597,0,116,7.12,0
2015,Male,15-19,1728683,4,227,13.13,0.231
2015,Male,20-24,1746436,4,273,15.63,0.229
2015,Male,25-29,1817468,3,288,15.85,0.165
2015,Male,30-34,1875418,4,274,14.61,0.213
2015,Male,35-39,1741191,2,261,14.99,0.115
2015,Male,40-44,1530317,2,274,17.9,0.131
2015,Male,45-49,1404120,4,248,17.66,0.285
2015,Male,50-54,1273439,5,182,14.29,0.393
2015,Male,55-59,1093711,1,170,15.54,0.091
2015,Male,60-64,866192,1,150,17.32,0.115
2015,Male,65-69,634787,0,100,15.75,0
2015,Male,70-74,430009,2,75,17.44,0.465
2015,Male,75-79,296192,1,49,16.54,0.338
2015,Male,80+,295058,0,63,21.35,0
2016,Female,0-4,1498475,2,301,20.09,0.133
2016,Female,5-9,1459921,0,108,7.4,0
2016,Female,10-14,1537628,1,177,11.51,0.065
2016,Female,15-19,1669545,8,286,17.13,0.479
2016,Female,20-24,1721633,6,267,15.51,0.349
2016,Female,25-29,1798459,4,225,12.51,0.222
2016,Female,30-34,1935548,3,260,13.43,0.155
2016,Female,35-39,1895470,9,249,13.14,0.475
2016,Female,40-44,1662979,5,215,12.93,0.301
2016,Female,45-49,1556588,4,191,12.27,0.257
2016,Female,50-54,1460820,2,166,11.36,0.137
2016,Female,55-59,1296958,2,152,11.72,0.154
2016,Female,60-64,1057524,1,106,10.02,0.095
2016,Female,65-69,812123,0,74,9.11,0
2016,Female,70-74,580123,1,68,11.72,0.172
2016,Female,75-79,426187,0,57,13.37,0
2016,Female,80+,544753,1,82,15.05,0.184
2016,Male,0-4,1571534,7,335,21.32,0.445
2016,Male,5-9,1529700,0,123,8.04,0
2016,Male,10-14,1607151,0,105,6.53,0
2016,Male,15-19,1719568,4,206,11.98,0.233
2016,Male,20-24,1741931,5,285,16.36,0.287
2016,Male,25-29,1791076,11,258,14.4,0.614
2016,Male,30-34,1871034,8,252,13.47,0.428
2016,Male,35-39,1778835,7,265,14.9,0.394
2016,Male,40-44,1555700,6,250,16.07,0.386
2016,Male,45-49,1418051,2,226,15.94,0.141
2016,Male,50-54,1292296,5,189,14.63,0.387
2016,Male,55-59,1119143,4,175,15.64,0.357
2016,Male,60-64,896941,4,121,13.49,0.446
2016,Male,65-69,662804,0,92,13.88,0
2016,Male,70-74,449032,1,64,14.25,0.223
2016,Male,75-79,303961,1,48,15.79,0.329
2016,Male,80+,306619,1,54,17.61,0.326
2017,Female,0-4,1492723,5,301,20.16,0.335
2017,Female,5-9,1463392,0,105,7.18,0
2017,Female,10-14,1514268,0,229,15.12,0
2017,Female,15-19,1648087,5,358,21.72,0.303
2017,Female,20-24,1711755,3,319,18.64,0.175
2017,Female,25-29,1769043,4,198,11.19,0.226
2017,Female,30-34,1912049,3,271,14.17,0.157
2017,Female,35-39,1924404,4,236,12.26,0.208
2017,Female,40-44,1694591,2,223,13.16,0.118
2017,Female,45-49,1569124,4,216,13.77,0.255
2017,Female,50-54,1477934,3,193,13.06,0.203
2017,Female,55-59,1326251,0,128,9.65,0
2017,Female,60-64,1099013,0,96,8.74,0
2017,Female,65-69,847853,0,88,10.38,0
2017,Female,70-74,609953,0,79,12.95,0
2017,Female,75-79,436334,0,48,11,0
2017,Female,80+,563898,0,86,15.25,0
2017,Male,0-4,1565410,3,292,18.65,0.192
2017,Male,5-9,1534227,0,113,7.37,0
2017,Male,10-14,1583970,1,126,7.95,0.063
2017,Male,15-19,1702948,1,254,14.92,0.059
2017,Male,20-24,1736348,6,285,16.41,0.346
2017,Male,25-29,1767541,5,261,14.77,0.283
2017,Male,30-34,1859205,3,284,15.28,0.161
2017,Male,35-39,1807699,5,278,15.38,0.277
2017,Male,40-44,1586204,6,273,17.21,0.378
2017,Male,45-49,1433517,5,256,17.86,0.349
2017,Male,50-54,1309312,0,223,17.03,0
2017,Male,55-59,1142454,2,202,17.68,0.175
2017,Male,60-64,927335,2,163,17.58,0.216
2017,Male,65-69,690826,1,106,15.34,0.145
2017,Male,70-74,470949,1,69,14.65,0.212
2017,Male,75-79,311343,3,60,19.27,0.964
2017,Male,80+,319106,0,65,20.37,0
2018,Female,0-4,1487494,1,295,19.83,0.067
2018,Female,5-9,1467291,1,131,8.93,0.068
2018,Female,10-14,1494651,0,258,17.26,0
2018,Female,15-19,1620741,3,453,27.95,0.185
2018,Female,20-24,1700022,7,327,19.24,0.412
2018,Female,25-29,1744386,2,263,15.08,0.115
2018,Female,30-34,1882118,2,317,16.84,0.106
2018,Female,35-39,1938315,3,272,14.03,0.155
2018,Female,40-44,1734799,1,253,14.58,0.058
2018,Female,45-49,1582269,3,199,12.58,0.19
2018,Female,50-54,1491605,3,179,12,0.201
2018,Female,55-59,1352916,0,130,9.61,0
2018,Female,60-64,1139859,0,108,9.47,0
2018,Female,65-69,883635,0,87,9.85,0
2018,Female,70-74,642729,1,69,10.74,0.156
2018,Female,75-79,447890,0,51,11.39,0
2018,Female,80+,583538,0,108,18.51,0
2018,Male,0-4,1559907,3,356,22.82,0.192
2018,Male,5-9,1539081,0,159,10.33,0
2018,Male,10-14,1564134,0,111,7.1,0
2018,Male,15-19,1679502,4,246,14.65,0.238
2018,Male,20-24,1729267,2,346,20.01,0.116
2018,Male,25-29,1747195,2,302,17.28,0.114
2018,Male,30-34,1839087,2,283,15.39,0.109
2018,Male,35-39,1826593,4,318,17.41,0.219
2018,Male,40-44,1622231,6,272,16.77,0.37
2018,Male,45-49,1450040,3,232,16,0.207
2018,Male,50-54,1324044,1,227,17.14,0.076
2018,Male,55-59,1164497,6,193,16.57,0.515
2018,Male,60-64,956898,0,156,16.3,0
2018,Male,65-69,718874,0,114,15.86,0
2018,Male,70-74,494866,0,87,17.58,0
2018,Male,75-79,319426,1,45,14.09,0.313
2018,Male,80+,332267,0,67,20.16,0
2019,Female,0-4,1474706,2,303,20.55,0.136
2019,Female,5-9,1472777,0,117,7.94,0
2019,Female,10-14,1478885,2,317,21.44,0.135
2019,Female,15-19,1591624,2,686,43.1,0.126
2019,Female,20-24,1690856,4,544,32.17,0.237
2019,Female,25-29,1726961,3,360,20.85,0.174
2019,Female,30-34,1847779,6,327,17.7,0.325
2019,Female,35-39,1939819,6,347,17.89,0.309
2019,Female,40-44,1782154,4,285,15.99,0.224
2019,Female,45-49,1596432,2,261,16.35,0.125
2019,Female,50-54,1503218,0,197,13.11,0
2019,Female,55-59,1377357,4,161,11.69,0.29
2019,Female,60-64,1178519,2,124,10.52,0.17
2019,Female,65-69,920152,1,92,10,0.109
2019,Female,70-74,676801,0,83,12.26,0
2019,Female,75-79,462669,0,75,16.21,0
2019,Female,80+,603015,0,86,14.26,0
2019,Male,0-4,1546337,2,327,21.15,0.129
2019,Male,5-9,1545396,0,153,9.9,0
2019,Male,10-14,1547770,1,118,7.62,0.065
2019,Male,15-19,1653851,1,311,18.8,0.06
2019,Male,20-24,1725158,7,370,21.45,0.406
2019,Male,25-29,1732761,13,307,17.72,0.75
2019,Male,30-34,1813179,8,283,15.61,0.441
2019,Male,35-39,1837411,7,351,19.1,0.381
2019,Male,40-44,1662940,2,302,18.16,0.12
2019,Male,45-49,1467874,6,253,17.24,0.409
2019,Male,50-54,1337585,3,192,14.35,0.224
2019,Male,55-59,1185451,7,205,17.29,0.59
2019,Male,60-64,985082,3,154,15.63,0.305
2019,Male,65-69,747019,1,129,17.27,0.134
2019,Male,70-74,519729,1,101,19.43,0.192
2019,Male,75-79,329627,0,58,17.6,0
2019,Male,80+,345245,0,62,17.96,0
2020,Female,0-4,1445256,2,323,22.35,0.138
